,ID,GROUP,CONDITION,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q5H,Q5I,Q5J,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,T2Q1,T2Q2A,T2Q2B,T2Q2C,T2Q2D,T2Q2E,T2Q2F,T2Q2G,T2Q2H,T2Q2I,T2Q3A,T2Q3B,T2Q3C,T2Q3D,T2Q3E,T2Q3F,T2Q3G,T2Q3H,T2Q4A,T2Q4B,T2Q4C,T2Q4D,T2Q4E,T2Q4F,T2Q4G,T2Q4H,T2Q4I,T2Q4J,T2Q5A,T2Q5B,T2Q5C,T2Q5D,T2Q5E,T2Q5F,T2Q5G,T2Q5H,T2Q5I,T2Q5J,T2Q6A,T2Q6B,T2Q6C,T2Q6D,T2Q6E,T2Q6F,T2Q6G,T2Q6H,T2Q6I,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE
276,276,18,1,3,10,5,3,5,4,77,5,2,6,77,77,6,7,10,6,4,5,7,4,9,4,9,6,5,5,4,4,10,8,5,6,10,10,8,5,8,77,5,6,6,6,6,7,3,6,5,5,5,5,8,6,6,7,5,8,6,9,6,3,7,3,5,5,2,2,6,2,7,1,8,7,5,4,3,3,4,5,4,9,10,9,2,4,10,10,7,8,8,8,6,8,6,8,8,"White, non-Hispanic",60+,HS graduate or equivalent,Republican,Male,61
277,277,31,1,3,0,8,10,10,9,1,10,10,0,10,10,10,5,0,0,0,5,6,10,5,7,9,0,10,10,10,10,0,5,0,10,10,10,10,10,0,10,10,0,10,10,3,7,10,10,5,7,6,0,10,2,10,8,1,6,10,0,9,10,1,3,1,0,0,4,7,10,5,9,10,0,5,2,4,8,1,3,7,6,10,10,8,5,10,7,10,6,7,7,5,8,10,6,6,Hispanic,30-44,Some college,Democrat,Female,34
278,278,38,1,8,10,6,5,5,5,6,6,6,8,2,5,3,1,7,5,6,3,9,0,10,5,5,7,0,0,0,0,10,7,5,3,10,8,5,2,2,8,5,5,5,6,5,2,5,7,8,8,7,5,8,0,5,5,8,10,7,8,0,1,8,2,7,5,5,0,10,3,5,1,5,5,1,1,2,0,10,8,0,2,10,10,7,0,5,7,5,7,6,8,5,0,3,8,7,"White, non-Hispanic",60+,BA or above,Republican,Male,63
279,279,11,1,3,9,0,1,2,7,9,3,7,10,10,10,10,10,1,5,3,7,8,10,10,10,10,2,8,9,7,7,1,0,10,10,10,10,10,10,10,10,10,7,10,7,6,6,10,3,1,2,5,6,0,8,7,7,10,2,0,10,8,8,10,10,3,3,0,10,7,9,0,7,8,0,7,5,1,0,1,1,8,8,10,10,10,6,10,10,10,4,9,9,7,6,8,7,1,"Asian, non-Hispanic",30-44,Some college,Republican,Male,40
280,280,1,1,5,0,10,10,8,5,10,0,10,5,5,5,5,5,10,5,5,10,5,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,5,10,10,5,10,5,10,10,10,10,6,5,10,5,10,77,10,5,10,5,8,8,8,8,77,77,10,10,0,10,5,10,10,5,5,7,8,3,3,1,10,10,10,10,10,77,8,77,77,2,10,10,10,77,10,0,5,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45
281,281,2,1,0,3,10,8,10,10,6,8,10,0,10,8,6,10,5,0,0,5,10,10,0,10,10,0,10,10,10,5,0,0,10,10,10,10,10,10,10,10,0,0,10,5,5,10,10,10,0,5,6,4,10,10,10,9,10,8,10,1,9,8,5,5,2,3,4,5,8,10,0,7,10,1,8,7,8,5,0,0,8,10,10,9,10,8,8,9,3,1,8,7,5,9,10,10,1,"Asian, non-Hispanic",18-29,HS graduate or equivalent,Independent,Male,21
282,282,3,1,7,5,7,3,3,7,6,8,7,7,5,7,8,2,3,8,4,3,7,3,6,3,6,4,10,8,7,8,7,8,7,6,7,7,8,8,8,10,8,8,8,8,7,8,9,9,8,7,8,8,7,9,7,8,8,8,7,8,7,7,6,6,8,8,9,3,8,7,6,7,6,7,8,9,8,8,7,6,7,7,5,6,7,8,8,5,8,7,8,8,6,3,5,4,2,Hispanic,30-44,Some college,Democrat,Female,36
283,283,6,1,5,5,7,7,7,4,5,77,8,7,77,5,6,77,77,0,77,7,77,8,3,10,7,3,10,2,10,77,7,77,6,7,8,8,7,77,77,77,77,6,9,8,77,77,8,5,77,10,8,3,8,2,6,6,10,8,7,2,8,7,7,7,77,0,77,5,9,8,77,7,8,2,10,4,77,0,1,77,6,7,10,8,2,77,10,8,7,2,1,7,6,77,3,5,2,"Black, non-Hispanic",30-44,BA or above,Democrat,Male,35
284,284,37,1,0,10,10,0,0,0,10,0,0,10,5,98,5,8,10,10,0,7,0,10,0,5,5,0,5,0,0,0,10,0,0,5,10,10,98,10,10,10,0,10,10,10,0,5,0,3,0,0,6,5,10,4,10,10,10,2,5,3,5,10,0,2,5,1,2,6,1,10,1,10,1,0,0,0,0,0,2,2,5,5,10,0,10,0,10,10,5,3,6,9,4,1,1,4,0,"White, non-Hispanic",60+,BA or above,Independent,Male,69
285,285,7,1,10,10,10,0,7,0,10,2,0,10,0,0,0,0,10,10,10,0,10,0,10,0,0,10,0,0,0,0,10,10,0,0,5,0,6,0,10,6,0,10,6,6,10,0,0,5,6,6,8,8,8,10,10,1,10,7,0,10,0,0,0,0,10,10,8,0,8,0,10,0,0,10,0,0,0,0,10,10,3,3,8,0,10,0,10,5,0,8,3,10,8,0,10,8,8,"White, non-Hispanic",30-44,Some college,Republican,Male,44
286,286,13,1,1,5,6,8,7,6,77,77,10,4,10,10,10,9,2,0,0,10,5,10,1,8,6,0,10,9,7,6,4,6,10,7,10,9,9,8,10,10,3,2,9,6,3,8,10,7,0,10,1,2,7,8,9,9,77,77,10,2,10,10,10,10,0,0,0,10,77,10,3,10,7,0,10,10,77,77,2,4,8,7,10,9,9,6,10,10,77,4,6,7,5,8,10,6,0,"White, non-Hispanic",45-59,BA or above,Independent,Male,47
287,287,21,1,5,0,10,10,10,10,0,0,10,0,10,10,10,10,0,0,0,77,10,10,77,10,10,0,10,10,10,5,0,0,10,10,10,10,10,10,77,10,10,0,5,10,0,10,10,10,0,10,3,0,10,5,10,10,0,77,10,0,10,10,10,5,0,0,77,2,77,5,0,10,10,0,5,5,4,0,0,0,10,10,10,10,10,10,77,10,10,0,5,10,5,10,10,5,0,"White, non-Hispanic",18-29,HS graduate or equivalent,Independent,Male,21
288,288,27,1,7,0,7,2,10,10,8,3,8,10,7,5,4,10,6,1,7,0,5,6,77,0,9,2,5,3,6,1,10,10,7,6,9,8,7,3,77,0,77,7,5,6,4,77,0,9,3,10,1,0,8,4,10,10,5,77,10,0,10,10,8,0,3,1,2,6,10,7,4,9,9,0,0,6,4,6,10,7,6,6,8,10,8,0,9,10,10,2,3,8,6,10,10,4,6,"White, non-Hispanic",45-59,BA or above,Republican,Male,47
289,289,34,1,0,3,8,8,8,8,8,6,8,3,10,8,8,8,2,0,2,7,10,9,2,8,8,2,9,8,9,7,2,0,10,10,10,10,10,10,10,10,9,0,9,9,3,8,10,8,3,10,3,3,10,7,5,7,7,8,9,3,10,10,10,10,2,0,1,5,6,5,2,8,8,5,9,10,5,2,4,2,7,8,10,10,10,10,10,10,7,2,8,10,9,7,10,8,2,"White, non-Hispanic",45-59,Some college,Democrat,Male,57
290,290,7,1,5,5,6,4,5,3,7,5,5,7,5,8,5,5,6,3,5,8,5,5,5,5,7,5,8,8,6,3,3,3,5,6,10,10,5,10,10,5,5,5,7,5,5,77,10,6,6,5,98,2,10,10,10,10,10,10,10,0,0,10,10,10,0,0,0,10,5,0,98,10,10,0,5,10,0,0,6,2,6,10,10,7,10,2,0,10,5,10,0,10,10,5,2,10,0,"2+, non-Hispanic",30-44,Some college,Democrat,Female,35
291,291,10,1,6,0,10,10,7,8,77,10,10,0,10,10,10,10,0,0,0,10,0,10,0,10,10,0,10,5,7,0,2,0,10,7,10,10,5,5,10,10,10,5,5,10,1,8,10,8,3,10,8,0,10,5,8,8,1,9,10,0,10,10,10,6,2,0,0,10,0,9,1,10,10,0,1,4,7,0,0,2,7,7,10,5,7,5,10,10,10,5,7,10,4,10,10,7,5,"White, non-Hispanic",60+,BA or above,Democrat,Female,78
292,292,32,1,6,8,5,3,8,3,8,9,4,9,8,4,3,6,5,3,2,6,9,5,1,8,8,6,5,2,3,0,5,3,3,6,8,8,8,5,9,9,6,3,5,10,8,2,6,7,5,5,7,4,9,5,7,6,9,9,9,4,10,7,5,4,5,3,5,8,10,10,0,10,7,0,5,5,4,1,0,4,5,7,10,8,8,5,10,8,10,3,5,10,7,6,5,7,7,"White, non-Hispanic",30-44,Some college,Independent,Male,41
293,293,37,1,5,7,5,2,77,5,0,2,6,3,6,8,8,9,77,1,1,77,5,4,1,6,8,1,0,1,5,3,4,7,5,6,8,6,6,4,5,10,77,6,77,77,3,4,10,10,0,6,98,5,4,1,1,0,10,5,5,0,10,9,7,4,2,0,0,2,3,2,7,6,8,0,0,0,0,0,5,2,2,6,9,9,6,0,10,10,7,7,77,5,0,2,5,8,0,Hispanic,18-29,Some college,Independent,Female,23
294,294,20,1,5,2,9,6,5,3,10,8,10,5,10,10,5,8,5,0,0,9,10,10,1,10,10,0,10,10,9,5,0,0,0,10,10,5,9,10,9,1,8,0,10,8,0,0,10,8,10,5,98,1,9,5,7,8,9,9,10,1,10,7,5,5,2,0,0,2,7,8,0,9,10,0,10,9,5,0,0,5,8,8,10,5,8,10,10,7,8,2,8,8,5,10,10,9,10,Hispanic,60+,Some college,Democrat,Female,61
295,295,13,1,6,7,9,5,5,2,7,6,3,7,1,4,5,1,8,6,5,3,6,3,6,5,5,7,3,1,1,0,8,5,4,5,7,5,5,3,8,7,3,5,7,8,8,0,3,5,6,5,9,5,9,5,7,7,9,9,6,5,3,5,7,2,6,5,5,2,5,6,4,7,8,4,3,3,2,1,6,8,5,5,8,8,8,3,9,8,7,6,8,8,7,4,5,3,5,"White, non-Hispanic",60+,Some college,Republican,Male,71
296,296,12,1,9,10,1,3,5,5,10,77,0,10,0,0,0,0,77,5,5,0,5,5,77,4,10,5,0,0,0,0,9,9,4,3,8,5,77,0,10,10,0,4,1,1,2,0,8,5,0,3,9,4,4,77,9,7,10,4,4,6,1,1,3,0,9,9,9,0,1,4,3,3,9,77,1,1,1,1,4,7,5,77,10,2,4,1,9,8,2,5,3,3,5,4,10,5,4,"White, non-Hispanic",45-59,Some college,Independent,Male,52
297,297,27,1,5,5,4,6,5,4,4,4,6,3,5,5,5,5,5,1,2,5,10,10,6,10,10,5,10,10,10,10,5,1,5,5,4,5,5,7,7,7,5,4,4,6,6,6,5,6,6,5,5,3,10,3,5,7,0,6,10,0,10,5,5,8,4,1,1,5,5,5,3,5,10,0,5,10,1,5,5,3,5,10,3,5,7,5,8,10,5,1,1,4,4,4,3,6,5,Hispanic,18-29,Some college,Democrat,Female,24
298,298,31,1,1,5,10,8,10,10,10,8,10,0,10,10,10,10,10,10,10,10,10,10,2,8,10,10,5,10,10,0,0,0,5,8,10,10,10,10,10,10,10,2,10,9,2,10,10,4,0,10,8,5,10,8,9,9,8,9,9,5,8,7,5,7,10,1,8,5,9,6,3,6,7,3,1,9,5,1,0,0,5,5,9,10,9,5,10,8,9,5,9,8,5,9,10,3,1,"Black, non-Hispanic",45-59,BA or above,Republican,Male,54
299,299,10,1,5,3,8,5,7,5,10,9,10,7,5,4,6,2,4,0,7,3,4,1,10,4,6,7,0,0,5,0,3,7,5,5,10,3,5,3,7,4,10,0,10,10,7,8,6,9,5,10,5,0,10,10,10,10,10,5,10,0,10,9,10,3,3,0,7,0,2,0,5,7,10,2,0,0,0,3,0,7,10,8,10,3,6,0,6,8,10,0,10,10,7,10,5,8,10,"White, non-Hispanic",30-44,BA or above,Republican,Male,39
300,300,21,1,2,8,7,8,6,6,9,77,10,3,10,10,9,6,5,0,77,5,8,6,5,5,7,5,9,10,8,6,0,0,8,7,10,10,10,10,5,5,8,0,10,5,8,8,8,6,6,7,7,2,8,10,10,10,0,0,10,10,10,10,9,9,10,10,1,5,5,6,6,6,8,8,9,7,2,4,1,0,9,10,10,8,10,10,10,9,3,6,10,9,9,10,10,10,10,Hispanic,30-44,HS graduate or equivalent,Democrat,Female,41
301,301,39,1,10,10,9,0,5,1,8,8,1,10,1,4,2,0,10,10,6,8,10,1,1,1,2,1,0,0,0,0,10,3,1,1,10,9,9,1,0,9,0,9,5,6,6,0,0,9,9,6,6,6,8,2,8,3,6,2,1,9,0,0,2,0,9,7,8,4,8,2,9,2,9,5,1,1,1,0,9,10,0,0,10,6,6,2,10,10,1,6,7,9,9,0,9,6,8,"White, non-Hispanic",45-59,Some college,Independent,Male,56
302,302,3,1,2,5,10,77,10,10,77,77,10,0,10,10,10,77,2,0,0,7,77,10,5,5,10,1,5,10,6,5,5,0,10,10,10,10,8,10,0,10,77,77,9,77,3,5,10,5,0,10,3,0,10,5,10,10,7,10,10,0,10,5,77,77,3,0,6,0,9,8,5,10,6,2,4,2,0,0,0,0,77,77,10,10,10,77,10,10,77,77,77,77,4,2,10,7,1,Hispanic,18-29,HS graduate or equivalent,Democrat,Female,27
303,303,21,1,0,3,7,5,5,6,8,8,8,4,10,10,7,7,2,0,0,5,10,10,77,10,10,77,10,10,10,10,0,0,10,7,10,10,10,10,10,6,7,6,10,10,3,5,10,10,0,7,5,3,10,3,10,10,5,8,10,6,10,10,10,8,3,1,1,5,8,10,0,10,10,0,8,10,10,6,0,1,10,10,10,5,10,10,10,10,10,4,8,10,7,10,10,10,0,"Black, non-Hispanic",18-29,BA or above,Independent,Female,29
304,304,15,1,2,4,7,9,6,8,77,6,10,2,7,6,7,9,5,1,1,5,2,8,77,7,6,1,8,7,77,2,0,0,7,6,6,8,7,7,8,7,77,5,5,8,5,9,8,8,7,9,6,2,10,10,9,9,6,10,10,2,10,6,6,8,2,0,1,7,5,4,5,9,7,0,8,7,2,3,0,2,8,7,9,9,9,8,10,8,9,1,3,7,5,10,9,8,6,"White, non-Hispanic",60+,BA or above,Independent,Male,76
305,305,28,1,5,77,5,5,6,6,77,77,77,5,1,2,2,3,8,5,6,2,3,3,77,5,5,5,6,3,4,2,5,77,6,5,4,5,8,5,10,8,77,7,7,8,5,1,5,6,6,5,5,4,8,5,8,8,9,77,5,5,4,7,7,5,5,5,5,5,6,4,3,3,10,4,4,7,5,1,5,5,5,5,6,6,6,5,9,9,8,5,7,8,6,4,8,7,7,"Black, non-Hispanic",60+,HS graduate or equivalent,Independent,Male,60
306,306,34,1,3,0,10,10,10,10,0,5,10,0,10,10,10,10,0,0,5,10,8,10,0,10,10,0,10,10,10,10,0,0,10,10,10,10,10,10,5,9,10,77,8,77,3,77,10,10,0,10,4,0,10,9,10,10,8,8,10,0,10,8,6,10,0,0,4,8,8,9,0,10,8,0,10,10,8,6,2,0,9,10,10,10,10,9,9,10,8,5,5,9,2,8,3,7,0,"Black, non-Hispanic",18-29,BA or above,Democrat,Female,24
307,307,26,1,7,5,6,4,8,7,10,8,10,3,10,10,10,7,10,9,7,10,8,6,7,8,9,7,10,10,10,10,7,8,8,9,10,7,8,7,9,8,8,8,6,9,8,10,10,8,10,8,9,5,7,8,7,10,10,6,10,4,10,9,7,10,8,3,2,7,10,4,8,10,10,1,5,9,4,2,3,5,4,9,10,10,10,10,8,8,8,10,10,10,10,7,10,7,7,Hispanic,45-59,BA or above,Democrat,Male,58
308,308,11,1,4,2,7,77,6,6,6,77,3,3,8,77,77,5,77,77,2,8,77,2,2,7,6,77,3,7,5,77,6,5,77,77,7,6,7,77,9,9,7,77,10,9,3,77,6,9,3,77,7,2,10,3,9,9,7,7,7,7,9,5,6,3,0,0,2,4,7,6,2,8,10,2,3,6,1,1,2,3,5,5,8,5,7,4,10,7,8,7,7,10,6,3,8,4,1,"White, non-Hispanic",30-44,BA or above,Independent,Female,36
309,309,2,1,3,1,10,10,10,7,0,77,10,2,10,10,10,10,77,0,0,10,10,10,77,8,10,77,10,8,77,5,0,0,10,10,10,10,10,10,77,10,10,10,10,10,10,77,10,77,77,5,5,1,10,8,9,9,1,1,10,1,10,10,10,10,2,1,2,5,7,6,9,9,10,1,4,8,5,5,1,5,8,8,10,8,98,8,10,10,10,1,10,10,1,10,5,10,5,Hispanic,30-44,BA or above,Independent,Female,41
310,310,33,1,5,0,10,9,8,8,8,7,10,4,9,10,9,77,4,0,0,5,5,8,3,9,9,9,10,8,8,0,1,3,8,8,10,9,10,77,77,9,5,4,7,9,77,6,10,8,4,10,8,0,10,5,9,8,77,10,7,5,9,77,8,5,77,0,2,6,77,2,77,7,8,7,8,6,5,2,0,3,77,77,10,9,9,77,10,8,7,2,7,8,77,9,10,5,1,"White, non-Hispanic",30-44,BA or above,Independent,Female,41
311,311,8,1,5,10,10,3,5,2,10,2,5,5,0,5,3,0,7,3,3,1,7,1,9,10,10,3,0,0,0,0,10,5,77,77,5,5,10,1,10,10,1,10,10,10,10,0,3,5,10,3,8,6,8,2,9,9,9,8,9,2,5,8,8,1,8,5,8,7,10,8,5,10,10,5,3,3,2,0,8,9,5,7,8,3,9,2,8,5,5,7,7,7,7,5,3,5,10,"White, non-Hispanic",45-59,BA or above,Republican,Female,52
312,312,26,1,5,10,5,0,4,5,9,5,4,9,5,5,5,5,5,5,5,7,5,5,5,7,6,4,5,5,6,6,5,5,5,5,10,10,10,7,7,7,4,6,6,5,5,5,4,6,5,4,5,5,8,5,7,7,10,5,8,10,2,5,8,0,5,0,0,5,5,5,8,10,5,0,6,0,5,2,5,5,5,5,9,7,8,6,10,10,5,8,5,5,7,3,2,9,5,"White, non-Hispanic",45-59,Some college,Republican,Female,45
313,313,22,1,4,6,5,1,7,4,2,5,2,7,0,0,1,0,10,8,77,0,0,0,10,0,1,9,0,0,0,0,10,4,0,1,0,1,1,0,1,7,10,0,77,5,6,77,5,5,0,0,2,0,6,6,10,10,9,8,8,1,6,5,0,1,10,6,6,0,0,0,10,0,3,6,1,0,0,0,4,4,1,0,7,2,1,0,10,9,8,0,2,4,4,7,9,5,1,"2+, non-Hispanic",18-29,BA or above,Republican,Male,22
314,314,3,1,8,2,10,10,7,10,10,8,10,2,10,10,10,10,3,5,2,5,10,6,0,9,5,0,8,4,0,0,0,0,5,5,10,7,6,3,10,7,10,0,10,10,9,10,10,5,2,9,4,1,10,10,10,10,10,10,10,0,10,9,10,5,2,0,0,2,10,0,0,10,8,0,7,0,0,0,0,1,5,7,10,8,8,0,10,8,10,0,10,10,9,10,10,5,0,"White, non-Hispanic",60+,BA or above,Independent,Female,65
315,315,14,1,2,10,1,0,5,0,10,5,0,10,0,0,0,0,10,10,9,0,9,1,9,9,9,1,5,0,0,0,10,5,0,1,10,10,10,5,9,10,0,10,5,1,2,0,0,1,9,0,8,5,5,3,8,8,10,5,2,5,5,5,8,4,9,9,9,1,8,2,1,9,8,5,2,2,0,0,6,2,7,7,10,7,8,2,8,8,7,7,7,7,7,7,2,5,8,"White, non-Hispanic",45-59,BA or above,Independent,Male,57
316,316,27,1,4,2,10,10,10,10,5,10,10,3,10,10,7,8,0,0,0,10,10,10,1,10,10,1,10,10,10,5,0,0,10,10,10,10,10,7,10,10,10,0,10,7,0,10,10,7,2,10,4,0,10,10,10,10,4,7,10,0,10,10,7,9,0,0,0,9,7,8,2,10,10,0,3,10,2,2,0,0,10,10,10,10,10,10,10,10,10,0,8,10,5,10,10,7,0,"White, non-Hispanic",60+,BA or above,Democrat,Male,63
317,317,7,1,6,8,9,7,10,8,10,10,10,7,10,10,10,10,0,0,2,98,2,10,77,10,10,0,10,10,10,5,5,8,10,10,10,10,8,10,9,10,10,2,10,8,7,8,0,5,6,10,7,5,9,7,8,9,9,8,9,2,7,8,8,8,3,3,3,7,5,7,4,6,10,2,7,6,2,2,2,3,6,8,8,6,5,5,8,8,8,1,1,5,7,8,9,5,1,Hispanic,45-59,HS graduate or equivalent,Democrat,Male,51
318,318,25,1,1,0,10,8,9,9,9,6,10,1,10,10,10,5,3,1,2,8,5,5,0,6,8,2,5,5,77,0,0,0,8,8,10,10,10,10,10,10,8,2,8,10,10,9,10,10,5,10,3,0,10,7,8,9,5,3,10,1,10,9,10,3,2,1,2,7,7,8,7,5,10,2,3,4,8,2,1,2,9,10,10,9,9,9,8,5,10,2,9,10,8,10,10,9,2,"White, non-Hispanic",45-59,BA or above,Independent,Male,51
319,319,16,1,7,0,3,7,10,10,10,10,7,7,6,6,6,5,7,7,6,3,3,4,1,8,3,7,5,0,3,0,5,3,77,77,8,7,7,0,7,5,77,6,4,10,8,0,8,7,7,7,7,3,8,6,8,10,10,10,10,3,8,4,4,3,8,7,2,2,0,0,7,10,7,4,6,2,5,0,77,77,4,4,10,4,7,77,8,3,8,8,8,10,7,7,7,8,4,"White, non-Hispanic",60+,BA or above,Republican,Male,60
320,320,12,1,5,5,6,8,6,6,6,5,5,5,8,8,8,4,8,6,6,6,3,5,5,6,5,4,5,5,6,2,4,5,5,5,7,6,7,6,10,6,8,7,6,6,6,5,8,6,5,7,8,5,8,8,8,8,9,9,5,4,8,8,9,10,6,5,8,10,5,9,3,5,7,5,5,2,9,9,5,9,7,9,10,8,5,3,10,10,5,5,6,5,7,5,9,5,4,"Asian, non-Hispanic",60+,BA or above,Independent,Female,75
321,321,5,1,1,10,77,5,3,2,10,8,7,10,2,0,0,0,7,5,77,0,7,8,0,10,10,5,0,77,0,0,8,7,0,10,10,77,8,8,10,10,77,77,5,2,2,1,9,77,10,1,4,10,5,1,2,7,77,77,77,5,1,0,0,0,10,0,0,0,0,4,77,7,10,0,0,0,0,0,8,77,0,8,10,77,77,1,4,7,77,77,5,1,1,5,10,8,5,"White, non-Hispanic",30-44,BA or above,Republican,Female,37
322,322,17,1,5,5,5,8,5,5,10,5,10,6,5,5,10,5,8,8,10,5,10,0,77,8,8,10,10,10,10,5,8,5,10,10,10,10,10,10,10,10,5,5,8,10,5,77,10,77,10,10,8,5,10,10,8,8,10,8,10,10,5,5,10,10,10,10,5,5,5,10,5,5,10,5,5,5,5,5,10,5,10,10,10,8,10,5,10,10,0,5,10,0,10,0,10,10,10,Hispanic,60+,Some college,Democrat,Female,62
323,323,7,1,4,0,10,10,9,10,9,8,9,7,10,10,10,10,10,0,0,10,0,8,0,7,8,0,10,10,10,7,0,0,8,8,10,10,10,9,9,0,1,7,9,9,8,9,8,10,10,10,7,5,10,10,9,10,10,10,10,7,9,9,9,10,7,0,0,9,0,9,2,8,10,0,8,9,7,4,2,0,5,9,10,8,8,8,10,9,10,0,9,9,10,10,7,8,8,"Black, non-Hispanic",60+,Some college,Independent,Male,66
324,324,15,1,1,4,9,6,7,6,6,4,9,4,10,10,10,10,0,0,0,10,1,6,3,6,4,0,5,5,6,0,0,1,6,5,10,8,8,2,10,7,6,4,10,10,2,7,8,6,0,4,2,2,6,5,7,4,5,5,9,2,10,10,8,7,0,0,0,6,3,4,6,3,4,0,3,0,1,0,0,2,6,4,10,10,10,6,10,2,9,3,8,10,4,7,9,6,0,"Asian, non-Hispanic",30-44,BA or above,Democrat,Male,30
325,325,28,1,2,10,5,0,5,5,10,10,0,10,0,5,0,5,5,5,5,5,10,0,0,8,0,5,0,0,0,0,10,0,0,0,10,5,5,0,5,5,5,10,5,8,8,2,0,10,5,3,5,10,10,5,10,10,10,10,0,5,5,10,10,5,5,5,5,5,10,5,0,5,10,5,0,0,0,0,10,0,5,5,10,5,5,0,10,5,0,5,5,10,5,5,2,5,5,"White, non-Hispanic",60+,BA or above,Republican,Male,61
326,326,22,1,5,10,5,10,7,10,10,8,0,10,10,10,10,10,2,0,1,10,10,8,8,10,10,8,5,5,5,0,5,5,0,3,3,5,5,0,10,10,5,1,5,5,5,5,10,5,5,6,4,4,7,5,8,8,7,2,6,5,9,9,9,4,8,4,6,3,2,7,2,6,8,1,3,8,0,1,2,3,5,7,8,9,8,8,10,8,7,4,7,9,8,9,8,6,0,"2+, non-Hispanic",18-29,HS graduate or equivalent,Independent,Male,21
327,327,31,1,0,1,10,10,5,3,5,7,10,1,5,5,5,5,8,5,5,7,98,10,10,10,5,5,10,0,5,0,0,0,10,10,10,0,0,5,5,5,10,5,10,10,10,77,10,10,77,10,5,1,0,10,10,10,10,10,10,0,10,10,9,10,10,5,2,10,1,5,0,10,10,0,10,0,0,0,0,0,10,10,10,10,10,5,5,9,10,8,10,10,5,10,5,10,10,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,51
328,328,40,1,5,0,0,5,5,0,0,5,0,10,5,5,4,77,4,5,0,5,5,5,0,10,10,5,10,0,5,0,0,10,1,5,10,10,10,5,10,10,10,10,0,5,4,10,5,10,10,10,7,5,3,0,10,4,10,10,0,10,77,3,0,0,10,10,0,0,5,10,3,10,10,0,0,0,0,0,0,10,5,8,10,10,10,10,10,10,7,10,10,5,5,0,10,10,10,Hispanic,45-59,Some college,Republican,Female,52
329,329,8,1,1,5,10,5,8,10,10,0,10,0,10,10,10,10,10,0,10,10,0,10,10,10,5,0,10,10,10,0,0,0,10,10,10,0,5,5,10,10,5,5,10,10,10,0,10,10,10,5,2,0,10,5,10,10,10,10,10,0,10,10,10,10,10,0,10,5,10,10,10,10,10,0,6,6,0,0,0,0,6,6,10,0,0,0,10,10,10,0,10,10,10,10,10,10,5,"White, non-Hispanic",60+,BA or above,Independent,Male,78
330,330,5,1,3,3,10,6,10,10,8,10,10,1,10,10,10,10,0,0,0,6,4,10,9,10,9,0,4,10,10,5,0,0,10,10,10,10,10,5,10,9,3,0,7,9,7,10,10,8,5,10,6,2,10,3,9,9,8,10,10,5,8,10,10,6,2,0,0,3,9,7,1,4,10,0,2,8,3,3,5,1,8,8,10,9,9,9,10,10,9,3,5,7,2,9,10,5,4,"Black, non-Hispanic",30-44,Some college,Independent,Female,31
331,331,24,1,5,5,7,6,77,7,7,3,8,4,6,5,6,7,5,3,3,2,3,6,5,5,6,4,4,4,1,0,5,3,5,6,6,7,7,3,7,8,5,5,7,8,5,5,6,7,4,7,6,2,10,5,10,10,6,77,10,3,8,7,5,0,5,4,3,0,3,2,8,4,5,0,6,4,6,0,5,5,5,5,7,0,5,0,9,9,4,6,6,8,8,7,3,5,5,"White, non-Hispanic",18-29,BA or above,Republican,Female,25
332,332,22,1,7,6,6,6,8,7,8,2,7,8,9,3,7,2,6,0,1,6,2,8,2,8,6,2,4,4,0,0,2,2,6,6,10,6,4,6,7,10,7,3,9,9,3,6,8,8,6,2,5,3,9,8,8,7,5,9,10,1,10,8,8,2,5,2,7,2,8,2,2,8,8,4,3,3,0,0,0,2,8,8,10,8,2,7,10,7,10,1,9,10,8,10,7,8,6,"White, non-Hispanic",30-44,BA or above,Independent,Male,38
333,333,27,1,5,77,77,77,9,9,77,77,10,77,9,9,9,9,2,0,0,10,0,1,77,0,7,77,5,5,77,0,1,2,6,5,8,8,8,10,77,8,77,3,77,8,77,77,9,9,77,77,7,5,7,6,8,8,7,5,8,5,10,10,9,7,5,0,2,10,3,2,77,6,10,3,1,1,2,0,1,3,8,6,10,2,8,2,9,5,77,4,7,9,77,77,10,10,5,"Asian, non-Hispanic",30-44,BA or above,Independent,Female,39
